x,T,U_0,rho,p,rho,U_0,U_1,U_2
0.074375,293,8.44E-12,1002.15,1.00E+07,1002.15,8.44E-12,0,0
0.075625,293,6.31E-12,1002.15,1.00E+07,1002.15,6.31E-12,0,0
0.076875,293,3.50E-12,1002.15,1.00E+07,1002.15,3.50E-12,0,0
0.078125,293,1.76E-12,1002.15,1.00E+07,1002.15,1.76E-12,0,0
0.079375,293,-4.70E-13,1002.15,1.00E+07,1002.15,-4.70E-13,0,0
0.080625,293,-1.43E-12,1002.15,1.00E+07,1002.15,-1.43E-12,0,0
0.081875,293,1.39E-12,1002.15,1.00E+07,1002.15,1.39E-12,0,0
0.083125,293,5.25E-12,1002.15,1.00E+07,1002.15,5.25E-12,0,0
0.084375,293,5.83E-12,1002.15,1.00E+07,1002.15,5.83E-12,0,0
0.085625,293,1.03E-12,1002.15,1.00E+07,1002.15,1.03E-12,0,0
0.086875,293,-7.82E-13,1002.15,1.00E+07,1002.15,-7.82E-13,0,0
0.088125,293,2.40E-12,1002.15,1.00E+07,1002.15,2.40E-12,0,0
0.089375,293,-2.66E-13,1002.15,1.00E+07,1002.15,-2.66E-13,0,0
0.090625,293,-3.24E-12,1002.15,1.00E+07,1002.15,-3.24E-12,0,0
0.091875,293,-2.61E-12,1002.15,1.00E+07,1002.15,-2.61E-12,0,0
0.093125,293,-3.77E-12,1002.15,1.00E+07,1002.15,-3.77E-12,0,0
0.094375,293,1.79E-13,1002.15,1.00E+07,1002.15,1.79E-13,0,0
0.095625,293,3.64E-12,1002.15,1.00E+07,1002.15,3.64E-12,0,0
0.096875,293,5.75E-12,1002.15,1.00E+07,1002.15,5.75E-12,0,0
0.098125,293,8.63E-12,1002.15,1.00E+07,1002.15,8.63E-12,0,0
0.099375,293,1.17E-11,1002.15,1.00E+07,1002.15,1.17E-11,0,0
0.100625,293,9.79E-12,1002.15,1.00E+07,1002.15,9.79E-12,0,0
0.101875,293,9.43E-12,1002.15,1.00E+07,1002.15,9.43E-12,0,0
0.103125,293,7.90E-12,1002.15,1.00E+07,1002.15,7.90E-12,0,0
0.104375,293,8.08E-12,1002.15,1.00E+07,1002.15,8.08E-12,0,0
0.105625,293,6.29E-12,1002.15,1.00E+07,1002.15,6.29E-12,0,0
0.106875,293,1.24E-12,1002.15,1.00E+07,1002.15,1.24E-12,0,0
0.108125,293,1.93E-12,1002.15,1.00E+07,1002.15,1.93E-12,0,0
0.109375,293,3.25E-12,1002.15,1.00E+07,1002.15,3.25E-12,0,0
0.110625,293,7.29E-12,1002.15,1.00E+07,1002.15,7.29E-12,0,0
0.111875,293,9.62E-12,1002.15,1.00E+07,1002.15,9.62E-12,0,0
0.113125,293,9.29E-12,1002.15,1.00E+07,1002.15,9.29E-12,0,0
0.114375,293,8.49E-12,1002.15,1.00E+07,1002.15,8.49E-12,0,0
0.115625,293,2.76E-12,1002.15,1.00E+07,1002.15,2.76E-12,0,0
0.116875,293,-1.42E-12,1002.15,1.00E+07,1002.15,-1.42E-12,0,0
0.118125,293,-2.03E-12,1002.15,1.00E+07,1002.15,-2.03E-12,0,0
0.119375,293,-1.10E-12,1002.15,1.00E+07,1002.15,-1.10E-12,0,0
0.120625,293,-8.98E-13,1002.15,1.00E+07,1002.15,-8.98E-13,0,0
0.121875,293,-3.40E-12,1002.15,1.00E+07,1002.15,-3.40E-12,0,0
0.123125,293,-1.35E-12,1002.15,1.00E+07,1002.15,-1.35E-12,0,0
0.124375,293,-2.44E-12,1002.15,1.00E+07,1002.15,-2.44E-12,0,0
0.125625,293,-5.67E-12,1002.15,1.00E+07,1002.15,-5.67E-12,0,0
0.126875,293,-5.39E-12,1002.15,1.00E+07,1002.15,-5.39E-12,0,0
0.128125,293,-5.94E-12,1002.15,1.00E+07,1002.15,-5.94E-12,0,0
0.129375,293,-6.56E-12,1002.15,1.00E+07,1002.15,-6.56E-12,0,0
0.130625,293,-3.08E-12,1002.15,1.00E+07,1002.15,-3.08E-12,0,0
0.131875,293,4.69E-12,1002.15,1.00E+07,1002.15,4.69E-12,0,0
0.133125,293,5.43E-12,1002.15,1.00E+07,1002.15,5.43E-12,0,0
0.134375,293,7.21E-12,1002.15,1.00E+07,1002.15,7.21E-12,0,0
0.135625,293,8.13E-12,1002.15,1.00E+07,1002.15,8.13E-12,0,0
0.136875,293,6.17E-12,1002.15,1.00E+07,1002.15,6.17E-12,0,0
0.138125,293,1.85E-12,1002.15,1.00E+07,1002.15,1.85E-12,0,0
0.139375,293,-6.07E-12,1002.15,1.00E+07,1002.15,-6.07E-12,0,0
0.140625,293,-9.92E-12,1002.15,1.00E+07,1002.15,-9.92E-12,0,0
0.141875,293,-8.39E-12,1002.15,1.00E+07,1002.15,-8.39E-12,0,0
0.143125,293,-3.83E-12,1002.15,1.00E+07,1002.15,-3.83E-12,0,0
0.144375,293,-2.57E-12,1002.15,1.00E+07,1002.15,-2.57E-12,0,0
0.145625,293,7.22E-13,1002.15,1.00E+07,1002.15,7.22E-13,0,0
